NAME,GEO_ID,Units in All Structures,Units in Single-Family Structures,Units in All Multi-Family Structures,Units in 2 Unit Multi-Family Structures,Units in 3 and 4 Unit Multi-Family Structures,Units in 5+ Unit Multi-Family Structures
Adams,1600000US4700200,0.0,0.0,0.0,0.0,0.0,0.0
"Allen County, KY",0500000US21003,,,,,,
Ashland City,1600000US4702180,193.0,46.0,147.0,0.0,3.0,144.0
Belle Meade,1600000US4704620,14.0,14.0,0.0,0.0,0.0,0.0
Berry Hill,1600000US4705140,0.0,0.0,0.0,0.0,0.0,0.0
Brentwood,1600000US4708280,147.0,147.0,0.0,0.0,0.0,0.0
Burns,1600000US4709880,51.0,51.0,0.0,0.0,0.0,0.0
Cedar Hill,1600000US4711980,,,,,,
Charlotte,1600000US4713080,0.0,0.0,0.0,0.0,0.0,0.0
Cheatham County,0500000US47021,407.0,260.0,147.0,0.0,3.0,144.0
Cheatham Incorporated,None,,,,,,
Cheatham Unincorporated,None,100.0,100.0,0.0,0.0,0.0,0.0
Clarksville,1600000US4715160,3265.0,1452.0,1813.0,10.0,135.0,1668.0
Columbia,1600000US4716540,1212.0,796.0,416.0,32.0,0.0,384.0
Coopertown,1600000US4716980,34.0,34.0,0.0,0.0,0.0,0.0
Cross Plains,1600000US4718420,12.0,12.0,0.0,0.0,0.0,0.0
Cumberland City,1600000US4718820,,,,,,
Davidson County,0500000US47037,16310.0,4105.0,12205.0,10.0,31.0,12164.0
Dickson County,0500000US47043,617.0,473.0,144.0,0.0,0.0,144.0
Dickson Incorporated,None,,,,,,
Dickson Unincorporated,None,290.0,290.0,0.0,0.0,0.0,0.0
Dickson,1600000US4720620,230.0,86.0,144.0,0.0,0.0,144.0
Dover,1600000US4721400,,,,,,
Eagleville,1600000US4722360,13.0,13.0,0.0,0.0,0.0,0.0
Erin,1600000US4724320,,,,,,
Fairview,1600000US4725440,153.0,145.0,8.0,0.0,8.0,0.0
Forest Hills,1600000US4727020,11.0,11.0,0.0,0.0,0.0,0.0
"Franklin, KY",1600000US2128918,,,,,,
Franklin,1600000US4727740,1180.0,293.0,887.0,0.0,53.0,834.0
GNRC,,,,,,,
GNRC Region,,,,,,,
Gallatin,1600000US4728540,778.0,763.0,15.0,0.0,4.0,11.0
Goodlettsville,1600000US4729920,119.0,119.0,0.0,0.0,0.0,0.0
Greenbrier,1600000US4730960,10.0,10.0,0.0,0.0,0.0,0.0
Hendersonville,1600000US4733280,454.0,454.0,0.0,0.0,0.0,0.0
Houston County,0500000US47083,1.0,1.0,0.0,0.0,0.0,0.0
Humphreys County,0500000US47085,20.0,20.0,0.0,0.0,0.0,0.0
Humphreys Incorporated,None,,,,,,
Humphreys Unincorporated,None,,,,,,
Kingston Springs,1600000US4739660,5.0,5.0,0.0,0.0,0.0,0.0
La Vergne,1600000US4741200,103.0,103.0,0.0,0.0,0.0,0.0
Lafayette,1600000US4740160,,,,,,
Lebanon,1600000US4741520,1258.0,1258.0,0.0,0.0,0.0,0.0
MPO,,,,,,,
"Macon County, Tennessee",0500000US47111,,,,,,
Maury County,0500000US47119,2397.0,1686.0,711.0,32.0,4.0,675.0
Maury Unincorporated,,245.0,245.0,0.0,0.0,0.0,0.0
McEwen,1600000US4744840,,,,,,
Millersville,1600000US4748980,6.0,6.0,0.0,0.0,0.0,0.0
Mitchellville,1600000US4749460,0.0,0.0,0.0,0.0,0.0,0.0
Montgomery County,0500000US47125,4008.0,2119.0,1889.0,16.0,143.0,1730.0
Montgomery Incorporated,None,,,,,,
Montgomery Unincorporated,None,743.0,667.0,76.0,6.0,8.0,62.0
Mount Juliet,1600000US4750780,609.0,609.0,0.0,0.0,0.0,0.0
Mount Pleasant,1600000US4751080,14.0,10.0,4.0,0.0,4.0,0.0
Murfreesboro,1600000US4751560,2376.0,2064.0,312.0,48.0,0.0,264.0
"Nashville-Davidson (balance), Tennessee",1600000US4752006,,,,,,
Nashville,,16137.0,3932.0,12205.0,10.0,31.0,12164.0
New Johnsonville,1600000US4752820,,,,,,
Nolensville,1600000US4753460,521.0,521.0,0.0,0.0,0.0,0.0
Oak Hill,1600000US4754780,29.0,29.0,0.0,0.0,0.0,0.0
Pegram,1600000US4757480,5.0,5.0,0.0,0.0,0.0,0.0
Pleasant View,1600000US4759560,104.0,104.0,0.0,0.0,0.0,0.0
Portland,1600000US4760280,105.0,53.0,52.0,4.0,0.0,48.0
Ridgetop,1600000US4763140,7.0,7.0,0.0,0.0,0.0,0.0
Robertson County,0500000US47147,937.0,905.0,32.0,10.0,0.0,22.0
Robertson Unincorporated,,317.0,307.0,10.0,10.0,0.0,0.0
Rutherford County,0500000US47149,3963.0,3488.0,475.0,48.0,64.0,363.0
Rutherford Incorporated,None,,,,,,
Rutherford Unincorporated,None,1018.0,1018.0,0.0,0.0,0.0,0.0
"Scottsville, KY",1600000US2169114,,,,,,
"Simpson County, KY",0500000US21213,,,,,,
Slayden,1600000US4769080,,,,,,
Smyrna,1600000US4769420,453.0,290.0,163.0,0.0,64.0,99.0
Spring Hill,1600000US4770580,926.0,635.0,291.0,0.0,0.0,291.0
Springfield,1600000US4770500,186.0,186.0,0.0,0.0,0.0,0.0
Stewart County,0500000US47161,3.0,3.0,0.0,0.0,0.0,0.0
Sumner County,0500000US47165,1842.0,1775.0,67.0,4.0,4.0,59.0
Sumner Unincorporated,,483.0,483.0,0.0,0.0,0.0,0.0
Tennessee,0400000US47,,,,,,
Tennessee Ridge,1600000US4773460,,,,,,
Thompson's Station,1600000US4773900,166.0,154.0,12.0,0.0,0.0,12.0
Trousdale County,0500000US47169,105.0,105.0,0.0,0.0,0.0,0.0
Trousdale Unincorporated,,105.0,105.0,0.0,0.0,0.0,0.0
US,0100000US,,,,,,
Vanleer,1600000US4776860,,,,,,
Watertown,1600000US4778320,0.0,0.0,0.0,0.0,0.0,0.0
Waverly,1600000US4778560,,,,,,
Westmoreland,1600000US4779420,16.0,16.0,0.0,0.0,0.0,0.0
White Bluff,1600000US4779980,46.0,46.0,0.0,0.0,0.0,0.0
White House,1600000US4780200,371.0,349.0,22.0,0.0,0.0,22.0
Williamson County,0500000US47187,2980.0,2073.0,907.0,0.0,61.0,846.0
Williamson Unincorporated,,813.0,813.0,0.0,0.0,0.0,0.0
Wilson County,0500000US47189,2371.0,2371.0,0.0,0.0,0.0,0.0
Wilson Incorporated,None,,,,,,
Wilson Unincorporated,None,504.0,504.0,0.0,0.0,0.0,0.0
